product_id,product_name,unit_price
5711,Raw Honey Local 32oz,79.99
6426,Silicone Baking Mat Set,92.48
6803,Eyebrow Pencil Micro,53.16
9038,Electrolyte Powder Packs,96.38
4116,The Lean Startup,81.02
185,Vitamin C Serum 20%,112.04
6691,Casual Canvas Sneakers,102.68
5280,Classic Oxford Button-Down Shirt,78.88
3105,The Pragmatic Programmer,101.63
7917,"Thinking, Fast and Slow",59.87
6581,Oversized Hoodie,74.49
8269,Memory Foam Pillow,66.96
2742,Meditations by Marcus Aurelius,88.73
2968,Jade Roller Face Massager,56.6
8768,The Innovators,82.16
134,Becoming,99.66
2387,Ergonomic Gaming Mouse,85.72
2171,"27"" Monitor 144Hz",35.13
9490,E-Reader Paperwhite,84.68
7441,Eyebrow Pencil Micro,99.68
4932,Merino Wool V-Neck Sweater,66.06
387,Himalayan Pink Salt Grinder,68.11
3,Puffer Down Jacket,77.8
9265,Python Crash Course,47.02
9981,Dish Rack Stainless Steel,101.16
5851,Extra Virgin Olive Oil 500ml,78.93
6737,Wireless Noise-Cancelling Headphones,30.41
7141,"Tablet 10.5"" WiFi",77.61
8266,Formal Blazer Slim,53.93
9632,Turmeric Gummies,91.0
7170,Agility Ladder,71.6
4242,"Thinking, Fast and Slow",111.23
6225,Gym Bag Large,104.72
3322,Wireless Earbuds Pro,66.73
7111,Extra Virgin Olive Oil 500ml,100.26
7871,Battle Ropes 40ft,51.79
6747,Classic Oxford Button-Down Shirt,102.58
4875,Ceramic Dinnerware Set 12-Piece,95.25
9963,Setting Powder Translucent,105.6
5351,Knee Sleeves Compression,78.44
1049,Foam Roller Deep Tissue,111.8
4753,Dark Roast Ground Coffee 12oz,59.84
5086,Resistance Bands Set 5-Pack,75.57
1843,Matcha Green Tea Powder,84.96
2836,Medicine Ball 15lb,74.87
5906,Portable Bluetooth Speaker,43.46
8552,Crew-Neck Graphic Tee,53.83
5736,Digital Kitchen Scale,25.61
9412,"27"" Monitor 144Hz",85.01
3260,Meditations by Marcus Aurelius,60.41
8351,Soccer Ball Size 5,88.64
1113,Dark Roast Ground Coffee 12oz,79.04
8808,Puffer Down Jacket,82.96
4193,Deep Work,94.73
7872,Electrolyte Powder Packs,63.38
4337,USB-C Laptop Stand,59.99
8430,Oversized Hoodie,74.6
2059,Portable SSD 1TB,120.11
9614,Tinted Moisturizer SPF 30,68.0
1480,Electric Toothbrush Smart,102.33
5674,Resistance Bands Set 5-Pack,77.15
2776,Cordless Vacuum,81.93
8561,Cordless Vacuum,107.65
5485,Electrolyte Powder Packs,72.2
9291,Electric Face Cleanser Brush,61.7
8564,12 Rules for Life,74.48
3480,Ashwagandha Capsules,88.59
1688,Zero to One,45.55
3954,Pull-Up Bar Doorframe,86.9
7283,Portable Charger 20000mAh,88.49
7138,Waterproof Rain Jacket,87.89
932,Electrolyte Powder Packs,91.83
3833,Knit Beanie Hat,14.21
2520,Probiotic Supplement 30B CFU,61.0
929,The Innovators,94.4
9196,Memory Foam Pillow,75.76
3199,Gym Bag Large,68.97
9991,Classic Oxford Button-Down Shirt,87.08
810,Turmeric Gummies,62.08
2426,Deep Work,63.09
9206,Weight Belt,56.0
